iter	Logloss
0	0.6421141906
1	0.5963992607
2	0.5546112187
3	0.5172019199
4	0.4832473527
5	0.4524683789
6	0.4251363054
7	0.4005167642
8	0.3786475977
9	0.3588370763
10	0.3409343751
11	0.3247270544
12	0.3104517399
13	0.2970119127
14	0.2854922132
15	0.2750863673
16	0.2654033681
17	0.2569170713
18	0.2492511804
19	0.2420829794
20	0.2357316305
21	0.2297975051
22	0.2241966756
23	0.2193382854
24	0.2149367766
25	0.2109873201
26	0.2075201137
27	0.2041224096
28	0.2011359227
29	0.1984235821
30	0.1959418432
31	0.1935946241
32	0.1914962821
33	0.1894510951
34	0.1876297305
35	0.1861281503
36	0.1844601546
37	0.1828877266
38	0.1815410623
39	0.1802798613
40	0.1790838128
41	0.1781091773
42	0.1771202959
43	0.1762235544
44	0.1753578673
45	0.1746275696
46	0.1739135018
47	0.1733405733
48	0.1726977322
49	0.1720821117
50	0.1715161665
51	0.1709273049
52	0.1704150523
53	0.1699400397
54	0.1694845314
55	0.168925208
56	0.1684098828
57	0.1679991645
58	0.1675863152
59	0.1671693714
60	0.1668908067
61	0.1664690391
62	0.1661489794
63	0.1659471965
64	0.1656099846
65	0.1653465018
66	0.165103195
67	0.1648556282
68	0.1646342876
69	0.1642955978
70	0.1640585414
71	0.1637868428
72	0.1635236512
73	0.1633187459
74	0.163086501
75	0.1629750775
76	0.1628369487
77	0.1625244133
78	0.1623197521
79	0.1621564593
80	0.161961262
81	0.1618505727
82	0.1616588302
83	0.1615025887
84	0.1613340932
85	0.1612065014
86	0.1611037922
87	0.1610131091
88	0.1608518795
89	0.1607661206
90	0.1605995368
91	0.1604069162
92	0.1603079212
93	0.1602179044
94	0.1601102234
95	0.1599578886
96	0.1598557002
97	0.1596205124
98	0.1594640364
99	0.1592600904
100	0.1591380979
101	0.1590908707
102	0.1589442889
103	0.1588001231
104	0.1587012808
105	0.1585782522
106	0.1584848937
107	0.1583976893
108	0.1582828346
109	0.1581481154
110	0.1579885682
111	0.1579241522
112	0.1578326542
113	0.1576786664
114	0.1575857106
115	0.1574192014
116	0.1572908706
117	0.1571649701
118	0.1569283618
119	0.1568944228
120	0.1568077631
121	0.1567248302
122	0.156681174
123	0.1565502615
124	0.1564312798
125	0.1563304266
126	0.1562086944
127	0.1561063242
128	0.1560049051
129	0.1559306092
130	0.1558032444
131	0.1557138698
132	0.1556496299
133	0.1556244827
134	0.1554648882
135	0.1552467463
136	0.1551948612
137	0.1551404832
138	0.1550626809
139	0.1549638195
140	0.1549080885
141	0.1548722009
142	0.1547825327
143	0.1546738784
144	0.1545361157
145	0.1544576766
146	0.1544065294
147	0.1543199604
148	0.1542290469
149	0.1541417971
150	0.1539964951
151	0.1539053707
152	0.1537258691
153	0.1535608463
154	0.1534847313
155	0.1533924838
156	0.1532850646
157	0.1532681426
158	0.1531877775
159	0.1531152216
160	0.1530185941
161	0.1528830421
162	0.1528049599
163	0.1527414686
164	0.1526560824
165	0.1526127581
166	0.1525105654
167	0.1524092642
168	0.1522621909
169	0.1521513946
170	0.1520018957
171	0.1519261336
172	0.1518861233
173	0.1518424853
174	0.1517404011
175	0.1516390332
176	0.1515840099
177	0.1514468779
178	0.1513436986
179	0.1513129088
180	0.1511979
181	0.1511480205
182	0.1510511511
183	0.1509026903
184	0.1508412081
185	0.1507856922
186	0.1507538343
187	0.1506508414
188	0.1504795745
189	0.1504233602
190	0.150373602
191	0.1502389827
192	0.150188004
193	0.1501340992
194	0.1500229849
195	0.1499345848
196	0.1498750071
197	0.1498415998
198	0.149792554
199	0.1496995609
200	0.149647465
201	0.1495637501
202	0.1494554511
203	0.1493408284
204	0.1492314523
205	0.1491703414
206	0.1491287972
207	0.1490714251
208	0.148921134
209	0.1488039747
210	0.1487162644
211	0.1485411534
212	0.1484334027
213	0.1483531425
214	0.1481984843
215	0.1481361068
216	0.1480711367
217	0.1479792008
218	0.1479484748
219	0.1478343867
220	0.1477559172
221	0.1476993966
222	0.147650135
223	0.147591678
224	0.1475405958
225	0.1474969747
226	0.1474473212
227	0.1473587568
228	0.1472449289
229	0.147165684
230	0.1470488112
231	0.1469634679
232	0.1469032692
233	0.1468199826
234	0.146752276
235	0.1467068426
236	0.1466637862
237	0.1466305993
238	0.1465357623
239	0.1464075612
240	0.1462779364
241	0.1461783006
242	0.1461419892
243	0.1460761623
244	0.1459871657
245	0.1459230328
246	0.1458794292
247	0.1458366484
248	0.1457913047
249	0.1457254108
250	0.1456417696
251	0.1455010073
252	0.1454331333
253	0.1453576255
254	0.1452635501
255	0.1451811117
256	0.1451110477
257	0.1450056757
258	0.1449281298
259	0.1448641651
260	0.1448101624
261	0.1447352496
262	0.1446423313
263	0.1445497837
264	0.1444674853
265	0.1443875549
266	0.1442632598
267	0.1442166635
268	0.1441634006
269	0.1441124664
270	0.1440556215
271	0.1439775518
272	0.1439285647
273	0.1439066867
274	0.1438226257
275	0.1436852071
276	0.1436316866
277	0.1435742213
278	0.1434516491
279	0.1433092598
280	0.1432541033
281	0.1431900444
282	0.1431281024
283	0.1430317807
284	0.1429140234
285	0.1428300525
286	0.1427918504
287	0.1427087915
288	0.1426144659
289	0.1425539205
290	0.1424844228
291	0.1424136518
292	0.1423631923
293	0.1422668632
294	0.1421752218
295	0.1421015354
296	0.1420386282
297	0.1419906467
298	0.1419445034
299	0.1418929656
300	0.1418170259
301	0.14176318
302	0.1416517246
303	0.1415419858
304	0.1414923982
305	0.141445147
306	0.141381435
307	0.1413452148
308	0.1412959863
309	0.1412179343
310	0.1411610568
311	0.1411051354
312	0.1410467782
313	0.1409798151
314	0.1409571327
315	0.1409223155
316	0.1408912165
317	0.1408512134
318	0.140715836
319	0.1406269508
320	0.1405786599
321	0.1405326112
322	0.1404460776
323	0.1403994344
324	0.1403287952
325	0.1402885871
326	0.1402393398
327	0.1401065523
328	0.1400194172
329	0.1399672559
330	0.139893918
331	0.1398611067
332	0.1397973724
333	0.1397408133
334	0.1396328622
335	0.1395348478
336	0.1394938052
337	0.1394349332
338	0.1393643353
339	0.1392920538
340	0.1392001371
341	0.1390831898
342	0.1390301208
343	0.1389709865
344	0.1389228299
345	0.1388425333
346	0.1387523682
347	0.1386806676
348	0.1385855318
349	0.1385580174
350	0.1385208426
351	0.1384763459
352	0.1384485445
353	0.1384110917
354	0.138329691
355	0.1383024325
356	0.1382610922
357	0.1381560127
358	0.1380907387
359	0.1380114634
360	0.1379756051
361	0.1379147732
362	0.1378143196
363	0.1377711013
364	0.1377416114
365	0.1376461048
366	0.1375546962
367	0.1375120177
368	0.1374698475
369	0.1373925485
370	0.1373380406
371	0.1372942537
372	0.1371941647
373	0.1371325419
374	0.1370793833
375	0.1370455869
376	0.1369397854
377	0.1368915347
378	0.1368325191
379	0.13677598
380	0.1366835747
381	0.1366085618
382	0.1365814611
383	0.1365502692
384	0.1364981577
385	0.1364457708
386	0.1363475635
387	0.1363085808
388	0.1362154344
389	0.1361459186
390	0.1360801354
391	0.136040262
392	0.1360114228
393	0.1359773957
394	0.1359068397
395	0.1358514096
396	0.1357947778
397	0.1357768329
398	0.1357062887
399	0.1356760057
400	0.1356321031
401	0.1355345135
402	0.1354527981
403	0.1354150792
404	0.1353359423
405	0.1352999664
406	0.1352073844
407	0.1351911999
408	0.1351570899
409	0.1351004145
410	0.1350240937
411	0.1349887792
412	0.1349541177
413	0.1348577152
414	0.1348073379
415	0.134776023
416	0.1346826572
417	0.1346538014
418	0.1346067895
419	0.134510862
420	0.134457213
421	0.1343793451
422	0.1342848037
423	0.1342245546
424	0.1341738654
425	0.1341111612
426	0.1340541769
427	0.1340058975
428	0.1339512802
429	0.1338558951
430	0.133766396
431	0.133737295
432	0.1337123369
433	0.1336186123
434	0.1335499148
435	0.133479713
436	0.1333847022
437	0.1332917284
438	0.1332718969
439	0.1332163313
440	0.1331458813
441	0.1330628506
442	0.1330137649
443	0.1328958524
444	0.1328426868
445	0.132739231
446	0.1326962362
447	0.1326647586
448	0.1326318802
449	0.1325995751
450	0.132503052
451	0.1323986447
452	0.1323149969
453	0.1322683895
454	0.1322157059
455	0.1321573072
456	0.1320875986
457	0.1320144255
458	0.1319392201
459	0.1319252872
460	0.1318858699
461	0.1317901933
462	0.1316804538
463	0.1316536837
464	0.1316159998
465	0.1315367551
466	0.1315115102
467	0.1314752553
468	0.1314279912
469	0.1313649753
470	0.131294751
471	0.1312533058
472	0.1311789404
473	0.1311267849
474	0.1310908682
475	0.1310647545
476	0.1309880425
477	0.1309154771
478	0.1308112386
479	0.130759058
480	0.1306533167
481	0.1306173958
482	0.1305641099
483	0.1304765796
484	0.1304483809
485	0.1303882205
486	0.1303010722
487	0.1302204826
488	0.1301690052
489	0.130115707
490	0.1300197604
491	0.1300067288
492	0.1299119693
493	0.1298416221
494	0.1298231448
495	0.1297794735
496	0.1297181271
497	0.1296958687
498	0.1296393998
499	0.1295719656
500	0.1294991976
501	0.1293972633
502	0.1293783386
503	0.1293499025
504	0.1293143549
505	0.1292085979
506	0.1291103799
507	0.1290700541
508	0.1290129457
509	0.1289814577
510	0.1289234883
511	0.1289022786
512	0.1288362086
513	0.1288025525
514	0.1287618268
515	0.128657625
516	0.1285815915
517	0.1284936668
518	0.1284691759
519	0.1283837045
520	0.128314172
521	0.1282802766
522	0.1282340165
523	0.1281661589
524	0.1281090407
525	0.1280307606
526	0.1279834942
527	0.1279556347
528	0.1278982981
529	0.1278744384
530	0.1278206134
531	0.1278003963
532	0.1277525104
533	0.1277297872
534	0.1276541503
535	0.1276261841
536	0.1275645722
537	0.1274788951
538	0.1274652173
539	0.1274438198
540	0.1273798176
541	0.1272751321
542	0.1272215883
543	0.1271061569
544	0.1270474837
545	0.1269761869
546	0.1269272845
547	0.1268700128
548	0.1268158066
549	0.1267542234
550	0.1267419471
551	0.1266668031
552	0.1266425542
553	0.1265616474
554	0.1264646531
555	0.1264168754
556	0.1263373674
557	0.1263052426
558	0.1262816543
559	0.1261704727
560	0.1260824162
561	0.1259686847
562	0.1259254643
563	0.1258967081
564	0.1258593996
565	0.1258034838
566	0.1257191936
567	0.1256844013
568	0.1255829482
569	0.1255167276
570	0.1254748738
571	0.1254273178
572	0.1253828159
573	0.1252875875
574	0.1252673805
575	0.1252551052
576	0.1251451508
577	0.1250858762
578	0.1250218236
579	0.1249838514
580	0.1248287429
581	0.124746015
582	0.124610921
583	0.1245455628
584	0.1245036079
585	0.1244386332
586	0.1243890045
587	0.1243605286
588	0.1243067152
589	0.1242523099
590	0.1242142742
591	0.1241789598
592	0.1240926774
593	0.1240533402
594	0.1239676765
595	0.1239308576
596	0.1239053977
597	0.1237893841
598	0.1237290494
599	0.1236815826
600	0.1236389252
601	0.1235186886
602	0.1234258147
603	0.1234012764
604	0.1233805006
605	0.1233069227
606	0.1232490968
607	0.1231746186
608	0.123133241
609	0.1231234208
610	0.1230395855
611	0.1230164877
612	0.1229979238
613	0.1229507435
614	0.1228974591
615	0.1228063945
616	0.1227271496
617	0.1226598637
618	0.1225832451
619	0.1225613667
620	0.1225016677
621	0.1224448691
622	0.1224195193
623	0.1223448356
624	0.1222481894
625	0.1221948211
626	0.1221152724
627	0.122031973
628	0.1219964832
629	0.1219403404
630	0.1219156672
631	0.1218325314
632	0.1217805329
633	0.121755412
634	0.1217341417
635	0.1216772778
636	0.1216485752
637	0.1216132756
638	0.1215337021
639	0.1214964316
640	0.1214387423
641	0.1214181277
642	0.1213555566
643	0.1213303746
644	0.1212916853
645	0.1212660083
646	0.1212175825
647	0.1212016258
648	0.1211699156
649	0.1211288559
650	0.1210658661
651	0.121049721
652	0.1210186528
653	0.1209537145
654	0.1209009107
655	0.1208231144
656	0.1207255136
657	0.1206844085
658	0.1206607832
659	0.1206229056
660	0.1205669696
661	0.1205065882
662	0.1204670804
663	0.1204120073
664	0.1203780714
665	0.1203183812
666	0.1201956064
667	0.1201811128
668	0.1201339031
669	0.1200812806
670	0.1200090412
671	0.1199770269
672	0.1199426392
673	0.1199132114
674	0.1198930529
675	0.1198468789
676	0.1197997409
677	0.1197829393
678	0.1197251917
679	0.1196879545
680	0.1196383156
681	0.1196156715
682	0.1195461684
683	0.1195124344
684	0.1194591093
685	0.1194083554
686	0.1193464034
687	0.1193204874
688	0.1192682573
689	0.1192346653
690	0.1191856291
691	0.1191547146
692	0.1191156595
693	0.1190815606
694	0.1190248849
695	0.1189709372
696	0.1189380086
697	0.1188866994
698	0.1188282344
699	0.1187988057
700	0.118775397
701	0.1187601821
702	0.1187209227
703	0.1186945507
704	0.1186537646
705	0.1186068808
